source,target
JFSebastian146,NA
CTpatriot1776,NA
JFSebastian146,NA
Apoxeyyy,NA
Apoxeyyy,NA
TomSchimmerPod,NA
idek3339,NA
JFSebastian146,NA
idek3339,NA
idek3339,NA
OldMainBell,NA
sg3169,NA
EquallyBalance,NA
Melbourne_7,NA
ArchitecteFR,NA
Adam37703760,NA
Melbourne_7,NA
ClareKuehn,NA
ctgobucks,NA
katarungann,NA
aixtc1,NA
BeruangSinar,NA
58ZBOeirhVephng,NA
swisher833,NA
Jeffrey26135149,NA
CasitaSD17,NA
APIRIII3,NA
sandierichards,NA
RationallyRight,NA
parodyqueen,NA
DamooreJanice,NA
kerry98198,NA
ClareKuehn,NA
bitchkitten5,NA
ClareKuehn,NA
Morgangilly2,NA
sanataninitin,NA
AsfehaYodit,NA
ActiveCitizenGo,NA
brontyman,NA
TheSydneyA,NA
kajincintlsu,NA
fay_ee,NA
CROWRDREAM,NA
ConsoleContempt,NA
GenshinCollect,thewidsth
IndivisibleGA04,NA
rm03123,NA
McLovin_OG,NA
BotDefund,NA
JFSebastian146,NA
LegendsWhalley,LegendsWhalley
anaschmana,NA
HamiltonThat,NA
MendacityAbout,NA
Al_Nimer,NA
Benihime20,NA
dsshake,NA
JFSebastian146,NA
CommieYoshi,NA
GenshinCollect,GenshinCollect
L_SezImpeach,NA
Justsumgie,NA
JFSebastian146,NA
JFSebastian146,NA
odradesh,NA
JFSebastian146,NA
kbbdawg,BurbridgeDuke
JFSebastian146,NA
zmccon2014,NA
DeclnDoyle1,NA
DigitalEclipze,NA
dsshake,dsshake
FiveKGreg,NA
mojavelicious,NA
kenjerakota2,NA
Angelsdad15,NA
dsshake,michaelmoreno2k
M_Cherry_315,NA
StandTallEurope,NA
el_nashtified,NA
Mark_A_Carter,NA
Mitch_Andresen,NA
Wtfagain5,NA
TruthNeverFall,NA
jeffrey_riddle,NA
RockeyGH,NA
tbasharks,NA
Lulna15,NA
brunoearlscourt,NA
Seni_Eritrea,NA
CDavidPowell,NA
GetenetKebede,NA
Jaime74833308,NA
shfletch,NA
JoeSmit15363205,NA
pkdelu,NA
reddestofreeds,reddestofreeds
JFSebastian146,NA
castelessclub03,NA
agephrem,NA
mikeeshetu,NA
WA_TigerGirl,NA
MX644RAsYEHHokk,NA
BLMProtestBot,NA
HannaLeake6,NA
TellNews52,NA
JFSebastian146,NA
frabikins,NA
lorun_omo,NA
bbpuppy,NA
JFSebastian146,NA
AMPMTALK,NA
LegendsWhalley,divebardaryl
AFRO_DAO,NA
realdaveguy,NA
JFSebastian146,NA
rumlovingrocker,NA
WierRene,NA
LegendsWhalley,LegendsWhalley
JFSebastian146,NA
endelstamberg,NA
JFSebastian146,NA
JosephZ55902328,NA
In2TheMystic111,NA
DavidUdale,NA
DavidUdale,NA
DavidUdale,NA
LegendsWhalley,divebardaryl
DavidUdale,NA
DavidUdale,NA
quacklish,NA
DavidUdale,NA
quacklish,NA
dsshake,NA
81deac,NA
shaksingh,libsoftiktok
KDarkpaw,matthewmercer
asvmac,NA
hem_r_shah,NA
Laulecmor,NA
VGat9300,NA
BotDefund,NA
GayleThomson13,NA
manthonyhunter,NA
leroywilsonjr,leroywilsonjr
GiladKangisser,NA
kbbdawg,BurbridgeDuke
ezizenak,NA
eziokwuigbo,NA
BinstokSarah,NA
Jyson_Bryson,NA
censorshipUSA,NA
seidlined,NA
MackPolitical,NA
America04796024,NA
melmeldc,KamalaHarris
HELLANBL,NA
Blkplantdaddy,NA
reddestofreeds,reddestofreeds
teresiita123,teresiita123
Rothbard1776,NA
kbarrere1,NA
JFSebastian146,NA
DonChickenEater,NA
james59975431,NA
james59975431,MaryBittel1
JFSebastian146,NA
garyfilipe2422,NA
AkshayPooniya4,NA
Seanbeau82,NA
BeeSaysPolitics,NA
YNahusenay,BurbridgeDuke
Remy_Zahiga,NA
frankieboy619,NA
JFSebastian146,NA
LegendsWhalley,freekyleusa
RasmusJ0nsson,NA
JFSebastian146,NA
marktsneed,NA
idek3339,NA
idek3339,NA
OldMainBell,NA
octoseven,NA
kbbdawg,BurbridgeDuke
ClareKuehn,NA
ValdezWhite,NA
pyritepyro,NA
larrietiernan,NA
BeeSaysPolitics,NA
kbbdawg,kbbdawg
sw_conservative,NA
gkrad9,NA
MendacityAbout,NA
LegendsWhalley,billmaher
KeelyWoitas,NA
gypsybeepie,NA
KimWrites4U,martin_gerber
519Skinner,NA
SpeedyVeez,NA
adair_bobbie,NA
SeptimusMaximu2,NA
bepositive76,NA
KidOfThe70s,NA
JFSebastian146,NA
crkleffner,NA
pickther3dpill,NA
ThreeVincents,NA
SpaciusImpetu,NA
JFSebastian146,NA
lstvincentj,NA
CannabisHempCBD,maritzapicazo
JFSebastian146,NA
CapitanBilly,NA
arya_a81044240,NA
Pop_Culture7,NA
RLiberalskiddin,NA
stargal46,NA
JFSebastian146,NA
lllaurenzo,NA
keismatic,NA
Selamaw09018518,NA
LegendsWhalley,WrldTvlr
JFSebastian146,NA
AcadianKatie,NA
Pop_Culture7,NA
drs11965,NA
Sighwahsomefuck,NA
SBBExpo,NA
SBBExpo,NA
jijenghi,NA
MamaBear64,NA
ChoozLov3,NA
commie_eracers,NA
MackPolitical,NA
TrumpAlwaysLies,NA
t9mike,NA
FatherOpei,NA
BrrrPrinter,NA
kbbdawg,BurbridgeDuke
Freddy6518227,NA
sk8face23,NA
joecardillo,NA
MendacityAbout,NA
BostonVote,NA
Freddy6518227,NYDailyNews
Haru3139,NA
77momma22,NA
devisedchaos,NA
tbasharks,NA
JeetpalYadav13,NA
MondayBlogs,NA
heather17052517,NA
jrj4191,NA
RichBChambers,NA
MarxistChico,NA
EvangeliTron,NA
coco_poof,NA
sunnydestiny22,allmightprint
SteadyOnDC,NA
kbbdawg,BurbridgeDuke
Criticalanglez,NA
MendacityAbout,NA
lorun_omo,lorun_omo
lorun_omo,NA
dpac48,NA
shtanky13,NA
Rafafafagafa,NA
sanjaykhilar,NA
DrAllysonNeal,NA
Godlesswh_re,NA
nolonavv,NA
TheH2,NA
JFSebastian146,NA
AkiHabte,EugenePuryear
nine_niall,NA
JFSebastian146,NA
ddwalk34,NA
padamstx,NA
CharlesNRiley,NA
ClareKuehn,NA
Alize1am,NA
lilush_lulu,MikaChavala
LaurelLynnLeake,NA
DBCarter62,NA
JFSebastian146,NA
NeverStopLies,NeverStopVoices
LangDixon1991,NA
JFSebastian146,NA
NettieSpaghetti,NA
JFSebastian146,NA
antisoc_bfly,NA
JFSebastian146,NA
2B7C89526,NA
JFSebastian146,NA
DavidUdale,NA
Alea83Gh,NA
DavidUdale,NA
DavidUdale,NA
DavidUdale,NA
kbbdawg,kbbdawg
MendacityAbout,npratc
KarineOmry,NA
AkiHabte,NA
JDSullivan15,NA
Vipintomar9358,NA
rajboshmahal,NA
GirlFarts7,NA
kbbdawg,BurbridgeDuke
SHurleyHall,NA
McGovenator303,NA
Hello_Amigo_,NA
MendacityAbout,NA
BotDefund,NA
royjr1978,NA
1RandoIT,NA
TellurideTexan,NA
Buddha_Inked,NA
kk131066,NA
MendacityAbout,NA
nascar_2448,NA
kbbdawg,BurbridgeDuke
tell_truth2,NA
MendacityAbout,NA
RavenHanson25,NA
Mindcite_US,NA
ChioneNgozi,NA
PIAccount1,NA
General_MaFia3,NA
ParleyingLv,NA
JFSebastian146,NA
lorun_omo,suerobinsyvr
_webshareztv,NA
JFSebastian146,NA
_webshareztv,GainmutuallT
obviously_obliv,NA
_webshareztv,NA
_webshareztv,F_rida_hk
_webshareztv,NA
_webshareztv,Sa_kaly
bornnusa,NA
_webshareztv,NA
_webshareztv,leahno
_webshareztv,NA
_webshareztv,Ekorso_
_webshareztv,NA
JFSebastian146,NA
_webshareztv,KingsNight13
BeauBrummelPl,NA
_webshareztv,NA
Humann2021,NA
NathanMartin,NA
_webshareztv,KingsNight13
JFSebastian146,NA
MasterPreston1,NA
OCHTexas,NA
GeorgeFloyd_com,NA
TacticalBeagles,NA
Tiffany05686239,NA
Monique78553607,NA
idek3339,NA
kathyfisher10,NA
idek3339,NA
BillWMoore1,NA
idek3339,NA
idek3339,NA
JFSebastian146,NA
idek3339,NA
drew4711700,NA
OldMainBell,NA
compossuis,NA
DudesMcCool1,NA
Streamer_Boost,NA
markedwhaler,NA
_webshareztv,NA
tvspeer,NA
LisaHov17618439,NA
fuckcancer56,NA
_webshareztv,KingsNight13
rtsmallstreams,NA
_webshareztv,NA
jenlgear,NA
amusawale,NA
_webshareztv,KingsNight13
MF_mentalhealth,NA
TesfazgiYemane,NA
BloodyFlame25,NA
PoliReliSport,NA
Melissa44249712,NA
ChiNewsBench,NA
_webshareztv,NA
MentalHealthBo5,NA
LupusGangsta,NA
_webshareztv,Ekorso_
disturbeans,NA
ponybluebird,NA
_webshareztv,NA
_webshareztv,davvyddmory
MentalHealthBo5,NA
Iam_Erika90,NA
MendacityAbout,UniteWomenNJ
_webshareztv,NA
_webshareztv,KingsNight13
_webshareztv,NA
_webshareztv,KingsNight13
_webshareztv,NA
ase074,NA
_webshareztv,carbo2002
amiryogi,NA
MokinWinks,NA
Nostraquedeo,NA
QuincyKeith5,NA
bohemiotx,NA
mraph_,NA
KabraMohit,NA
SpinsterSimone,NA
madlove_love,NA
whosthatgurl_,NA
Rudemmon,NA
mikebrickley,NA
_webshareztv,NA
Iam_Erika90,NA
_webshareztv,rileydonatic
MentalHealthBo5,NA
LupusGangsta,NA
_webshareztv,NA
helenjojojojo,NA
amiryogi,NA
_webshareztv,UGmanofficial
_webshareztv,NA
_webshareztv,F_rida_hk
MacandMaggie,NA
QuanKimberly,NA
_webshareztv,NA
_webshareztv,carbo2002
_webshareztv,NA
doworkshoework,NA
_webshareztv,KingsNight13
_webshareztv,NA
JFSebastian146,NA
_webshareztv,KingsNight13
PunchBack2x,NA
JFSebastian146,NA
BotDefund,NA
rateandreview21,NA
gedmonds4,NA
JFSebastian146,NA
GetsBanned,NA
_webshareztv,NA
_webshareztv,_africanman
_webshareztv,NA
the_amphibian,NA
_webshareztv,HRMIrene
_webshareztv,NA
_webshareztv,FcMutua1s
_webshareztv,NA
_webshareztv,GainmutuallT
_webshareztv,NA
JFSebastian146,NA
_webshareztv,KalyGains
_webshareztv,NA
_webshareztv,KingsNight13
jo2you,NA
monkeyes2,NA
_webshareztv,NA
_webshareztv,Gainmutuallsm
JFSebastian146,NA
say_the_names,NA
_webshareztv,NA
_webshareztv,KingsNight13
KitMendelson,NA
deuceohsixx,NA
ClareKuehn,NA
JFSebastian146,NA
_webshareztv,NA
_webshareztv,KingsNight13
_webshareztv,NA
SBBExpo,NA
_webshareztv,KalyGains
SBBExpo,NA
catlove71040608,NA
SBBExpo,NA
_webshareztv,NA
_webshareztv,_africanman
_webshareztv,NA
_webshareztv,1FIRSTGroups
Sonoslick,NA
jl_younce,NA
StreamerWall,NA
_webshareztv,NA
_webshareztv,HARRYS1DEMPIRE
_webshareztv,NA
_webshareztv,TherealUGman
dcylf,NA
davidbulat21,NA
Lane_Reed2020,NA
_webshareztv,NA
_webshareztv,Charlesnweke_
_webshareztv,NA
_webshareztv,GainmutualT
G_Martin,NA
BrooksDM_dem,NA
mikehudson1920,NA
JFludd85,NA
MentalHealthBo5,NA
Iam_Erika90,NA
CJG1KAG,NA
Big_Momma_84,Enushwa_
barnavit,TulsiGabbard
tbasharks,NA
NTG980,NA
Valeria_Strega,NA
Wtfagain5,NA
pescara121,NA
tomkenn94364088,NA
Wtfagain5,NA
BluMyst,NA
VoLinxx,NA
dieppebay,NA
AnnieMa73968559,NA
TDukeman,NA
SpencerKarter,NA
Po_Jo217,NA
Hardspun2007,NA
viggopoxm,NA
BabieeDollllll,NA
N_Of_T_W,NA
joan_cpc,NA
esolomon2,NA
ac_crago,NA
JFSebastian146,NA
Stlhd100,NA
jayteeteetwo,NA
carbo2002,NA
JFSebastian146,NA
BLMProtestBot,NA
GenXIsNotWoke,NA
_Jarzhead_,NA
pramodk4all,NA
JFSebastian146,NA
kismek83,blackandmissing
JFSebastian146,NA
TheHoff305,NA
TheDuke61179,NA
GenXIsNotWoke,NA
mike54371842,NA
ETzipporah,NA
DbnCrypto,DbnCrypto
_webshareztv,NA
AMPMTALK,VoLinxx
_webshareztv,GainmutualGain
_webshareztv,NA
JFSebastian146,NA
gsonofpatter,NA
_webshareztv,gainmutuals_xxx
cheetah1961,NA
_webshareztv,NA
GenXIsNotWoke,NA
kismek83,NA
JFSebastian146,NA
CortneyMiller22,NA
mike54371842,NA
DavidUdale,NA
pennylane007007,NA
_webshareztv,HRWIrene
DavidUdale,NA
DavidUdale,NA
DavidUdale,NA
cincat83,NA
_webshareztv,NA
_webshareztv,MUTUALLANDFES
SauceBezy,NA
SusanKBradford,NA
_webshareztv,NA
AMPMTALK,NA
_webshareztv,tricblue
_webshareztv,NA
ikerot,NA
_webshareztv,CHIOMA_RICHARD_
_webshareztv,NA
_webshareztv,carbo2002
_webshareztv,Banky__moon
_webshareztv,NA
_webshareztv,ghostperson01
parkerrm39,NA
_webshareztv,NA
calladitya,NA
_webshareztv,bm_mido9
TheMon3yMom,NA
BotDefund,NA
Forced5ilence,NA
awthentix,NA
Tw0Legit2Quit,NA
girum75,NA
PotatoH44601978,NA
jeff_taylor56,NA
Brian_wrestle13,NA
mlynd1026,NA
JaeMilliano,NA
Iamservant,NA
WillMarsh87,NA
CumFly_WitMe,NA
frostybeard2,NA
GenXIsNotWoke,NA
UncleNospik,KerridwinR
ImdaVinman,NA
Gettemphat,NA
Baraq_George,NA
ElCapitanN1,NA
say_the_names,NA
cascadianape,NA
coachsnow,NA
RufoTina,NA
jemriahh,NA
tdg9999,NA
Naeskino,NA
Uni_language,NA
mikalforpontiac,NA
LaeeqaAllie,NA
Tdubz100,NA
mjmcalliwrites,NA
Eritrea36917870,NA
peradizoking,NA
JeromeTaylor,JeromeTaylor
LynnM22900493,NA
yossamia,NA
Scholarly1,NA
Tdubz100,NA
Jan6Patriot,NA
MentalHealthBo5,NA
JFSebastian146,NA
KoOL_ItKiDD,NA
LeatherH13,NA
jussuhdude,NA
antinh,NA
samanthapaigeme,NA
DawoMiyo,NA
JFSebastian146,NA
IDLIVA,NA
seffnerman,NA
JFSebastian146,NA
42Kmi,NA
JFSebastian146,NA
KarlWildendon,NA
papasharma00,NA
OCHLLL1,NA
JFSebastian146,NA
OCHFl1,NA
gautamkotwal81,NA
OCHCalifornia,NA
JFSebastian146,NA
idek3339,NA
idek3339,NA
sarawalnut,NA
idek3339,NA
OhWellWhatevr,NA
zaffy2005,NA
idek3339,NA
Eloise93833941,NA
OldMainBell,NA
RightToFight4,NA
kismek83,NA
LuckyTecolote,NA
jagnowamy,NA
BPratto,NA
Iam_Erika90,NA
CountTeleki,NA
Kc2Az19,NA
JBoltruczyk,NA
OCHNY1,NA
BobbyO33,NA
mikki719,NA
HeirToSmith,NA
BobSlater18,NA
abbierbe43,NA
Anshul_Mathur3,NA
IdiotPolitical,NA
Dixonoliver23,NA
Budavision80,NA
Hilamey,NA
LKrukowski,NA
leelee410,NA
BruderClemens,NA
IrMiklat,NA
LiahChanelle,NA
dubsmith3,NA
MikeBookout1,NA
atlhawks2000,NA
gregadams5847,NA
lorun_omo,lorun_omo
francin56658596,NA
lorun_omo,lorun_omo
lorun_omo,NA
CAKarmicDebt,NA
frmhburg,NA
zkrige,NA
1badasswitch66,NA
iunderstoodu,NA
Mangopodzz,NA
IDLIVA,NA
shaunking,NA
herman0703,NA
NeerGopal,NA
Susan_Magoosan,NA
goenka_nawal,NA
Anaelena65Maria,NA
AchmatX,AchmatX
Alexandria_SZ,NA
KRS4066,NA
SamuelAsfaw13,NA
fjb468,NA
belehu_balcha,NA
MendacityAbout,NA
ScrimFinder,NA
Streamer_Boost,NA
JFSebastian146,NA
Lifelightofmen,NA
GreenAssam,NA
kismek83,NA
PamelaB44293770,NA
DebraTy78560965,NA
dpword,NA
JFSebastian146,NA
slmbs9,NA
scattermemvar,NA
kismek83,NA
MendacityAbout,BitmojiMaddow
TanishWoody,NA
tiredofthisyet,NA
CeirraMist,NA
BkDogStudioLife,NA
TerminatorLx,NA
say_the_names,NA
EritraHaben,NA
deardubow,deardubow
wandar1of5,NA
gmac1124,NA
colormycoates,NA
JFSebastian146,NA
MAGAindex,NA
adstutz_1,mikepompeo
TheRepublic22,NA
netttypop,NA
EarlDLane,NA
JMURF07,NA
caniknak,NA
naptownkid2,NA
jcdaley,NA
Jmalowitz2,NA
Torbiesmom,NA
wyldmoonchyld,NA
kiiara_ma,NA
tweledeberhan,NA
_theBrownprint_,NA
lorun_omo,cindytrimm
TweetsPamela,NA
platinumpullet,NA
onesimusiii,NA
tbasharks,NA
mikerensch,NA
jjtrcka22,NA
MaldenMpaa,NA
pcolafootgolf,NA
TrumpTwenty204,NA
jin0x,_FOCUSonthebeat
JokersGal25,NA
jezusgurl55,NA
DaveNelson98,NA
McMerkelJones,NA
dorothyk98,NA
TelephusSara,NA
strawberrytwt_,NA
OsoKool2012,NA
ChiSports1981,NA
moisodaaa,NA
jin0x,NA
LisaLynneH,NA
JohnDavisUSA,NA
donaldabaker66,NA
JFSebastian146,NA
PinkEyedGenie,NA
JFSebastian146,NA
nyamentikeely,NA
mdb0576,NA
JFSebastian146,NA
JFSebastian146,NA
ElenaRi71156636,NA
JFSebastian146,NA
JetJaguar500,NA
ATLPeach_,NA
ElenaRi71156636,NA
JFSebastian146,NA
Lowridafxdl,NA
BFScreenwriter,NA
BFScreenwriter,NA
laurarogusz,NA
JonnyLingo_,NA
JFSebastian146,NA
Snowynam22,NA
odnazdii,NA
DavidUdale,NA
Jtl_Morriss,NA
DavidUdale,NA
LoreyJeanene,NA
DavidUdale,NA
3540Party,NA
deeplens,NA
DavidUdale,NA
San_AntoneB,NA
1WesRebel,NA
imagine_garden,NA
kellyfairchild2,NA
imagine_garden,NA
JLMC3791,NA
DrCEOWave,NA
coloradowoodsy3,NA
DingleTeach,NA
esterling6,NA
johnogden007,NA
balancetomylife,NA
1024CP,NA
reaganball,NA
jasonsyra,NA
BotDefund,NA
autisticrung,NA
BFScreenwriter,NA
WorldProfessor,NA
BanterfBundy,NA
user86753098,NA
AngryKavanaugh,NA
Dylema_,NA
AttorneyGriggs,NA
GenXIsNotWoke,NA
ferreiradv,NA
AkromasDisciple,NA
The_Jim_Martin,NA
merry_ghouled,NA
IndieAngles,NA
BFScreenwriter,NA
rodrignj,NA
StreamerWall,NA
MargerineMagpie,NA
BlueJayGliding,NA
IndieAngles,NA
BFScreenwriter,NA
NotAcquiescing,NA
kb_wiles,NA
lipps_ms,NA
TheXenochrist,NA
shanepttn,NA
Janwarr48315436,NA
BFScreenwriter,NA
TheXenochrist,NA
BlackSocialists,NA
BLM757,NorfolkPD
IndieAngles,NA
downthelanebook,NA
